year,province_code,subject_track,score,count,cumulative_count,rank_min,rank_max,source_id
2023,AH,history,274,280,135303,135024,135303,src_collected_ah_2023_score_segments
2023,AH,history,275,318,135023,134706,135023,src_collected_ah_2023_score_segments
2023,AH,history,276,333,134705,134373,134705,src_collected_ah_2023_score_segments
2023,AH,history,277,294,134372,134079,134372,src_collected_ah_2023_score_segments
2023,AH,history,278,301,134078,133778,134078,src_collected_ah_2023_score_segments
2023,AH,history,279,325,133777,133453,133777,src_collected_ah_2023_score_segments
2023,AH,history,280,320,133452,133133,133452,src_collected_ah_2023_score_segments
2023,AH,history,281,316,133132,132817,133132,src_collected_ah_2023_score_segments
2023,AH,history,282,294,132816,132523,132816,src_collected_ah_2023_score_segments
2023,AH,history,283,347,132522,132176,132522,src_collected_ah_2023_score_segments
2023,AH,history,284,343,132175,131833,132175,src_collected_ah_2023_score_segments
2023,AH,history,285,362,131832,131471,131832,src_collected_ah_2023_score_segments
2023,AH,history,286,329,131470,131142,131470,src_collected_ah_2023_score_segments
2023,AH,history,287,350,131141,130792,131141,src_collected_ah_2023_score_segments
2023,AH,history,288,329,130791,130463,130791,src_collected_ah_2023_score_segments
2023,AH,history,289,353,130462,130110,130462,src_collected_ah_2023_score_segments
2023,AH,history,290,376,130109,129734,130109,src_collected_ah_2023_score_segments
2023,AH,history,291,390,129733,129344,129733,src_collected_ah_2023_score_segments
2023,AH,history,292,336,129343,129008,129343,src_collected_ah_2023_score_segments
2023,AH,history,293,360,129007,128648,129007,src_collected_ah_2023_score_segments
2023,AH,history,294,387,128647,128261,128647,src_collected_ah_2023_score_segments
2023,AH,history,295,386,128260,127875,128260,src_collected_ah_2023_score_segments
2023,AH,history,296,384,127874,127491,127874,src_collected_ah_2023_score_segments
2023,AH,history,297,401,127490,127090,127490,src_collected_ah_2023_score_segments
2023,AH,history,298,391,127089,126699,127089,src_collected_ah_2023_score_segments
2023,AH,history,299,382,126698,126317,126698,src_collected_ah_2023_score_segments
2023,AH,history,300,428,126316,125889,126316,src_collected_ah_2023_score_segments
2023,AH,history,301,393,125888,125496,125888,src_collected_ah_2023_score_segments
2023,AH,history,302,425,125495,125071,125495,src_collected_ah_2023_score_segments
2023,AH,history,303,401,125070,124670,125070,src_collected_ah_2023_score_segments
2023,AH,history,304,387,124669,124283,124669,src_collected_ah_2023_score_segments
2023,AH,history,305,433,124282,123850,124282,src_collected_ah_2023_score_segments
2023,AH,history,306,433,123849,123417,123849,src_collected_ah_2023_score_segments
2023,AH,history,307,432,123416,122985,123416,src_collected_ah_2023_score_segments
2023,AH,history,308,440,122984,122545,122984,src_collected_ah_2023_score_segments
2023,AH,history,309,396,122544,122149,122544,src_collected_ah_2023_score_segments
2023,AH,history,310,432,122148,121717,122148,src_collected_ah_2023_score_segments
2023,AH,history,311,416,121716,121301,121716,src_collected_ah_2023_score_segments
2023,AH,history,312,446,121300,120855,121300,src_collected_ah_2023_score_segments
2023,AH,history,313,421,120854,120434,120854,src_collected_ah_2023_score_segments
2023,AH,history,314,459,120433,119975,120433,src_collected_ah_2023_score_segments
2023,AH,history,315,475,119974,119500,119974,src_collected_ah_2023_score_segments
2023,AH,history,316,444,119499,119056,119499,src_collected_ah_2023_score_segments
2023,AH,history,317,415,119055,118641,119055,src_collected_ah_2023_score_segments
2023,AH,history,318,472,118640,118169,118640,src_collected_ah_2023_score_segments
2023,AH,history,319,471,118168,117698,118168,src_collected_ah_2023_score_segments
2023,AH,history,320,485,117697,117213,117697,src_collected_ah_2023_score_segments
2023,AH,history,321,462,117212,116751,117212,src_collected_ah_2023_score_segments
2023,AH,history,322,486,116750,116265,116750,src_collected_ah_2023_score_segments
2023,AH,history,323,502,116264,115763,116264,src_collected_ah_2023_score_segments
2023,AH,history,324,484,115762,115279,115762,src_collected_ah_2023_score_segments
2023,AH,history,325,503,115278,114776,115278,src_collected_ah_2023_score_segments
2023,AH,history,326,503,114775,114273,114775,src_collected_ah_2023_score_segments
2023,AH,history,327,518,114272,113755,114272,src_collected_ah_2023_score_segments
2023,AH,history,328,490,113754,113265,113754,src_collected_ah_2023_score_segments
2023,AH,history,329,533,113264,112732,113264,src_collected_ah_2023_score_segments
2023,AH,history,330,494,112731,112238,112731,src_collected_ah_2023_score_segments
2023,AH,history,331,535,112237,111703,112237,src_collected_ah_2023_score_segments
2023,AH,history,332,504,111702,111199,111702,src_collected_ah_2023_score_segments
2023,AH,history,333,552,111198,110647,111198,src_collected_ah_2023_score_segments
2023,AH,history,334,519,110646,110128,110646,src_collected_ah_2023_score_segments
2023,AH,history,335,546,110127,109582,110127,src_collected_ah_2023_score_segments
