year,province_code,batch_code,subject_track,college_code,group_code,major_code,min_score,min_rank,avg_score,avg_rank,max_score,max_rank,admitted_count,source_id
2024,AH,ordinary_undergraduate,history,1007,002,,490,33605,,,,,10,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1007,003,,500,29315,,,,,1,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1010,001,,490,33370,,,,,18,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1010,002,,480,37637,,,,,5,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1017,001,,490,33607,,,,,6,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1020,001,,491,32847,,,,,5,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1020,002,,503,28285,,,,,3,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1020,003,,501,28916,,,,,,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1022,001,,510,25606,,,,,2,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1022,002,,517,22892,,,,,2,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1023,001,,570,8120,,,,,3,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1024,001,,587,5237,,,,,1,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1025,001,,462,45389,,,,,22,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1026,001,,505,27660,,,,,43,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1026,002,,519,22111,,,,,3,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1027,001,,490,33524,,,,,14,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1028,001,,500,29392,,,,,2,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1029,006,,669,30,,,,,18,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1030,001,,668,35,,,,,,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1031,001,,568,8552,,,,,13,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1032,001,,602,3346,,,,,,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1032,002,,615,2012,,,,,,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1035,001,,517,23048,,,,,3,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1036,001,,581,6195,,,,,10,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1039,001,,637,698,,,,,13,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1040,001,,602,3272,,,,,16,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1042,001,,617,1859,,,,,8,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1048,001,,609,2507,,,,,19,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1049,001,,476,39271,,,,,12,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1051,001,,631,945,,,,,23,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1052,001,,538,15944,,,,,11,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1052,002,,531,18011,,,,,12,src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1053,002,,605,2916,,,,,8,src_ah_2024_admission_history
