year,province_code,batch_code,subject_track,college_code,group_code,college_name,subject_requirement,group_note,source_id
2024,AH,ordinary_undergraduate,physics,1024,003,北方民族大学,不限,"003专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1024,004,北方民族大学,化学,"004专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1024,005,北方民族大学,化学,"005专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1026,001,北华大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1026,002,北华大学,化学,"002专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1026,003,北华大学,化学,"003专业组（化学）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1026,004,北华大学,化学 + 生物学,"004专业组（化学+生物学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1026,005,北华大学,生物学,"005专业组（生物学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1027,001,北华航天工业学院,化学,"001专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1028,001,北京城市学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1028,002,北京城市学院,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1028,003,北京城市学院,化学,"003专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1028,004,北京城市学院,地理,"004专业组（地理）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
2024,AH,ordinary_undergraduate,physics,1029,007,北京大学,化学,"007专业组（化学）; OCR sample from admission_ordinary_undergraduate_physics_2024_01.jpg, top 1000px",src_ah_2024_admission_physics
